,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,435,543","+19,244","756,017","+1,094","23,072,460","+10,891","9,607,066","22,014",,,,,,North America,,,,,
,,,Asia,,"24,919,497","+54,264","397,386",+676,"23,430,592","+46,427","1,091,519","21,831",,,,,,Asia,,,,,
,,,South America,,"17,856,132","+5,558","463,826",+108,"16,154,042","+4,873","1,238,264","18,862",,,,,,South America,,,,,
,,,Europe,,"33,996,853","+111,891","811,002","+2,137","23,519,347","+73,756","9,666,504","25,343",,,,,,Europe,,,,,
,,,Africa,,"3,910,310","+2,942","103,362",+59,"3,468,969","+3,375","337,979","2,552",,,,,,Africa,,,,,
,,,Oceania,,"51,105",+8,"1,088",,"34,272",+4,"15,745",6,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"114,170,161","+193,907","2,532,696","+4,074","89,680,388","+139,326","21,957,077","90,608","14,647",324.9,,,,All,,,,,
,120,Rwanda,"18,689",,258 ,,"17,302",,"1,129",11,"1,420",20,"1,000,505","76,020","13,161,044 ",Africa,"70451,01213",
,121,French Polynesia,"18,387",,139 ,,"4,842",,"13,406",6,"65,208",493,"26,355","93,466","281,975 ",Australia/Oceania,"152,02911",
,122,Mauritania,"17,187",,439 ,,"16,534",,214,14,"3,634",93,"171,605","36,287","4,729,081 ",Africa,"27510,77228",
,123,Eswatini,"16,972",,650 ,,"14,241",,"2,081",36,"14,530",556,"151,217","129,462","1,168,039 ",Africa,"691,7978",
,124,Mayotte,"16,861",,107 ,,"2,964",,"13,790",22,"60,849",386,"123,040","444,031","277,098 ",Africa,"162,5902",
,125,French Guiana,"16,627",,85 ,,"9,995",,"6,547",6,"54,746",280,"149,894","493,537","303,714 ",South America,"183,5732",
,126,Guinea,"15,894",,89 ,,"14,879",,926,24,"1,189",7,"137,777","10,309","13,364,176 ",Africa,"841150,15997",
,127,Syria,"15,467",,"1,018 ",,"9,637",,"4,812",,870,57,,,"17,777,245 ",Asia,"1,14917,463",
,128,Cabo Verde,"15,253",,146 ,,"14,754",,353,23,"27,240",261,"120,215","214,691","559,945 ",Africa,"373,8355",
,129,Gabon,"14,564",,83 ,,"13,143",,"1,338",10,"6,444",37,"524,784","232,214","2,259,915 ",Africa,"15527,2284",
,130,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,375",9,,,"9,677,160 ",Asia,"727107,524",
,131,Haiti,"12,430",,249 ,,"9,679",,"2,502",,"1,081",22,"54,379","4,731","11,493,566 ",North America,"92546,159211",
,132,Réunion,"12,416",,52 ,,"11,270",,"1,094",55,"13,803",58,"98,785","109,821","899,507 ",Africa,"7217,2989",
,133,Belize,"12,293",,315 ,,"11,836",,142,2,"30,554",783,"83,888","208,500","402,340 ",North America,"331,2775",
,134,Burkina Faso,"11,939",,142 ,,"11,404",,393,,561,7,,,"21,275,518 ",Africa,"1,782149,828",
,135,Hong Kong,"10,984",+33,198 ,,"10,519",+26,267,17,"1,457",26,"7,980,942","1,058,916","7,536,900 ",Asia,"68638,0651",
,136,Andorra,"10,849",+27,110 ,,"10,429",+35,310,17,"140,266","1,422","193,595","2,502,974","77,346 ",Europe,77030,
,137,Lesotho,"10,491",,292 ,,"3,745",,"6,454",,"4,872",136,"60,460","28,077","2,153,396 ",Africa,"2057,37536",
,138,Guadeloupe,"9,746",,159 ,,"2,242",,"7,345",6,"24,355",397,"131,178","327,807","400,169 ",North America,"412,5173",
,139,Suriname,"8,913",,170 ,,"8,391",,352,7,"15,105",288,"40,654","68,896","590,080 ",South America,"663,47115",
,140,Congo,"8,820",,128 ,,"7,019",,"1,673",,"1,573",23,"92,500","16,499","5,606,435 ",Africa,"63643,80061",
,141,Bahamas,"8,519",,179 ,,"7,309",,"1,031",2,"21,529",452,"67,841","171,442","395,708 ",North America,"462,2116",
,142,Guyana,"8,513",,195 ,,"7,945",,373,4,"10,789",247,"63,809","80,868","789,047 ",South America,"934,04612",
,143,Mali,"8,358",,350 ,,"6,355",,"1,653",,405,17,"152,035","7,370","20,629,336 ",Africa,"2,46858,941136",
,144,Aruba,"7,849",,71 ,,"7,526",,252,11,"73,311",663,"104,076","972,091","107,064 ",North America,"141,5081",
,145,South Sudan,"7,771",+174,93 ,+3,"4,217",+110,"3,461",8,689,8,"108,767","9,643","11,279,697 ",Africa,"1,452121,287104",
,146,Trinidad and Tobago,"7,704",,139 ,,"7,445",,120,2,"5,493",99,"95,859","68,350","1,402,469 ",North America,"18210,09015",
,147,Togo,"6,730",,82 ,,"5,522",,"1,126",,801,10,"233,875","27,826","8,405,019 ",Africa,"1,249102,50036",
,148,Somalia,"6,687",,223 ,,"3,784",,"2,680",,413,14,,,"16,181,106 ",Africa,"2,42072,561",
,149,Martinique,"6,687",,45 ,,98,,"6,544",2,"17,829",120,"100,913","269,049","375,073 ",North America,"568,3354",
,150,Nicaragua,"6,445",,173 ,,"4,225",,"2,047",,965,26,,,"6,676,181 ",North America,"1,03638,591",
,151,Djibouti,"6,062",,63 ,,"5,894",,105,,"6,078",63,"115,259","115,560","997,398 ",Africa,"16515,8329",
,152,Iceland,"6,049",,29 ,,"6,006",,14,8,"17,651",85,"499,700","1,458,135","342,698 ",Europe,"5711,8171",
,153,Equatorial Guinea,"6,005",+48,91 ,,"5,622",+17,292,24,"4,191",64,"97,933","68,350","1,432,826 ",Africa,"23915,74515",
,154,Benin,"5,434",,70  ,,"4,248",,"1,116",,441,6,"476,511","38,648","12,329,565 ",Africa,"2,269176,13726",
,155,CAR,"5,004",,63 ,,"4,920",,21,2,"1,024",13,"37,104","7,596","4,884,610 ",Africa,"97677,533132",
,156,Niger,"4,740",,172 ,,"4,250",,318,3,191,7,"78,967","3,188","24,772,813 ",Africa,"5,226144,028314",
,157,Curaçao,"4,717",,22 ,,"4,631",,64,1,"28,669",134,"50,286","305,627","164,534 ",North America,"357,4793",
,158,Gambia,"4,691",,148 ,,"4,089",,454,8,"1,906",60,"42,080","17,101","2,460,743 ",Africa,"52516,62758",
